nombre_cancion,nombre_artista,duracion,oyentes,reproducciones,url
Not Allowed,TV Girl,167,1666222,37419859,https://www.last.fm/music/TV+Girl/_/Not+Allowed
Do I Wanna Know?,Arctic Monkeys,223,2842442,44174970,https://www.last.fm/music/Arctic+Monkeys/_/Do+I+Wanna+Know%3F
I Just Might,Bruno Mars,213,492343,2951933,https://www.last.fm/music/Bruno+Mars/_/I+Just+Might
Poker Face,Lady Gaga,237,3580685,41144330,https://www.last.fm/music/Lady+Gaga/_/Poker+Face
S&M,Rihanna,243,2211579,22347171,https://www.last.fm/music/Rihanna/_/S&M
like JENNIE,Jennie,123,765142,18858162,https://www.last.fm/music/Jennie/_/like+JENNIE
Lost,Frank Ocean,234,1970401,31795548,https://www.last.fm/music/Frank+Ocean/_/Lost
Misery Business,Paramore,211,2675489,36678402,https://www.last.fm/music/Paramore/_/Misery+Business
Blood Sweat & Tears,BTS,217,778834,30454894,https://www.last.fm/music/BTS/_/Blood+Sweat+&+Tears
Drag Path,Twenty One Pilots,224,263633,2938570,https://www.last.fm/music/Twenty+One+Pilots/_/Drag+Path
Porch Light,Noah Kahan,262,100527,551422,https://www.last.fm/music/Noah+Kahan/_/Porch+Light
Dynamite,BTS,199,1054510,173714319,https://www.last.fm/music/BTS/_/Dynamite
Maneater,Nelly Furtado,267,2198895,22565245,https://www.last.fm/music/Nelly+Furtado/_/Maneater
Don’t Smile,Sabrina Carpenter,206,760379,14646136,https://www.last.fm/music/Sabrina+Carpenter/_/Don%E2%80%99t+Smile
Telephone,Lady Gaga,200,1811612,22033389,https://www.last.fm/music/Lady+Gaga/_/Telephone
Back To Me,The Marías,213,721596,9481674,https://www.last.fm/music/The+Mar%C3%ADas/_/Back+To+Me
Eyes Without a Face,Billy Idol,250,1500834,17472917,https://www.last.fm/music/Billy+Idol/_/Eyes+Without+a+Face
Can't Stop,Red Hot Chili Peppers,276,2494961,26063628,https://www.last.fm/music/Red+Hot+Chili+Peppers/_/Can%27t+Stop
Don't Stop the Music,Rihanna,193,2511054,19298147,https://www.last.fm/music/Rihanna/_/Don%27t+Stop+the+Music
Beaches,beabadoobee,230,772549,11810437,https://www.last.fm/music/beabadoobee/_/Beaches
Fashion Killa,A$AP Rocky,236,1142541,17681482,https://www.last.fm/music/A$AP+Rocky/_/Fashion+Killa
we can't be friends (wait for your love),Ariana Grande,227,1365216,34501184,https://www.last.fm/music/Ariana+Grande/_/we+can%27t+be+friends+(wait+for+your+love)
Breakin' Dishes,Rihanna,200,1438585,15506990,https://www.last.fm/music/Rihanna/_/Breakin%27+Dishes
Opalite,Taylor Swift,235,718749,13804469,https://www.last.fm/music/Taylor+Swift/_/Opalite
My Own Worst Enemy,Lit,170,1099658,9095327,https://www.last.fm/music/Lit/_/My+Own+Worst+Enemy
The Only Exception,Paramore,267,1901088,23975834,https://www.last.fm/music/Paramore/_/The+Only+Exception
My Love Mine All Mine,Mitski,140,2006486,49643720,https://www.last.fm/music/Mitski/_/My+Love+Mine+All+Mine
Chop Suey!,System of a Down,210,2724604,34285147,https://www.last.fm/music/System+of+a+Down/_/Chop+Suey%21
Gimme More,Britney Spears,205,2130489,25027462,https://www.last.fm/music/Britney+Spears/_/Gimme+More
Novacane,Frank Ocean,449,1464274,25660778,https://www.last.fm/music/Frank+Ocean/_/Novacane
"One of the Girls (with JENNIE, Lily Rose Depp)",The Weeknd,245,1424368,26859264,"https://www.last.fm/music/The+Weeknd/_/One+of+the+Girls+(with+JENNIE,+Lily+Rose+Depp)"
Starboy,The Weeknd,230,2309035,33049176,https://www.last.fm/music/The+Weeknd/_/Starboy
Numb,Linkin Park,204,3003260,35504883,https://www.last.fm/music/Linkin+Park/_/Numb
RUN,BTS,237,615778,17445302,https://www.last.fm/music/BTS/_/RUN
Juna,Clairo,195,1237684,21338537,https://www.last.fm/music/Clairo/_/Juna
Ivy,Frank Ocean,249,1837173,42694160,https://www.last.fm/music/Frank+Ocean/_/Ivy
Let It Happen,Tame Impala,488,1746081,25456351,https://www.last.fm/music/Tame+Impala/_/Let+It+Happen
Money Trees,Kendrick Lamar,316,2089056,34495900,https://www.last.fm/music/Kendrick+Lamar/_/Money+Trees
White Ferrari,Frank Ocean,269,1656614,39193821,https://www.last.fm/music/Frank+Ocean/_/White+Ferrari
Just The Way You Are,Milky,207,246945,1702075,https://www.last.fm/music/Milky/_/Just+The+Way+You+Are
Scar Tissue,Red Hot Chili Peppers,245,2775311,27624491,https://www.last.fm/music/Red+Hot+Chili+Peppers/_/Scar+Tissue
Dark Red,Steve Lacy,173,2127458,39595978,https://www.last.fm/music/Steve+Lacy/_/Dark+Red
DARE (feat. Shaun Ryder & Roses Gabor),Gorillaz,244,806895,4872332,https://www.last.fm/music/Gorillaz/_/DARE+(feat.+Shaun+Ryder+&+Roses+Gabor)
Guess featuring billie eilish,Charli xcx,143,1543107,29018851,https://www.last.fm/music/Charli+xcx/_/Guess+featuring+billie+eilish
On Melancholy Hill,Gorillaz,233,2268314,27454479,https://www.last.fm/music/Gorillaz/_/On+Melancholy+Hill
Supermassive Black Hole,Muse,249,2879163,35054375,https://www.last.fm/music/Muse/_/Supermassive+Black+Hole
Smells Like Teen Spirit,Nirvana,301,4016132,41223260,https://www.last.fm/music/Nirvana/_/Smells+Like+Teen+Spirit
Lovefool,The Cardigans,196,2178587,20241262,https://www.last.fm/music/The+Cardigans/_/Lovefool
This Charming Man - 2011 Remaster,The Smiths,162,1630961,24527559,https://www.last.fm/music/The+Smiths/_/This+Charming+Man+-+2011+Remaster
No. 1 Party Anthem,Arctic Monkeys,240,1603184,23940745,https://www.last.fm/music/Arctic+Monkeys/_/No.+1+Party+Anthem
Locked Out of Heaven,Bruno Mars,233,2425472,24885267,https://www.last.fm/music/Bruno+Mars/_/Locked+Out+of+Heaven
Style,Taylor Swift,231,1562928,33373420,https://www.last.fm/music/Taylor+Swift/_/Style
Love Me Harder,Ariana Grande,236,1385594,15873828,https://www.last.fm/music/Ariana+Grande/_/Love+Me+Harder
Heartbeat,Childish Gambino,272,1452411,20987023,https://www.last.fm/music/Childish+Gambino/_/Heartbeat
Bad Habit,Steve Lacy,232,1878553,33461749,https://www.last.fm/music/Steve+Lacy/_/Bad+Habit
Sugar On My Tongue,"Tyler, The Creator",153,1176912,11845047,"https://www.last.fm/music/Tyler,+The+Creator/_/Sugar+On+My+Tongue"
Cherry Waves,Deftones,317,1325549,22239623,https://www.last.fm/music/Deftones/_/Cherry+Waves
Feather,Sabrina Carpenter,185,1379889,27809778,https://www.last.fm/music/Sabrina+Carpenter/_/Feather
STAY HERE 4 LIFE (feat. Brent Faiyaz),A$AP Rocky,346,337473,1651842,https://www.last.fm/music/A$AP+Rocky/_/STAY+HERE+4+LIFE+(feat.+Brent+Faiyaz)
Heavy,The Marías,253,979161,16112402,https://www.last.fm/music/The+Mar%C3%ADas/_/Heavy
